Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
36,AFG,Afghanistan,Kabul,Asia,41128771.00,38972230.00,33753499.00,28189672.00,19542982.00,10694796.00,12486631.00,10752971.00,652230.00,63.06,1.03,0.52
138,ALB,Albania,Tirana,Europe,2842321.00,2866849.00,2882481.00,2913399.00,3182021.00,3295066.00,2941651.00,2324731.00,28748.00,98.87,1.00,0.04
34,DZA,Algeria,Algiers,Africa,44903225.00,43451666.00,39543154.00,35856344.00,30774621.00,25518074.00,18739378.00,13795915.00,2381741.00,18.85,1.02,0.56
213,ASM,American Samoa,Pago Pago,Oceania,44273.00,46189.00,51368.00,54849.00,58230.00,47818.00,32886.00,27075.00,199.00,222.48,0.98,0.00
203,AND,Andorra,Andorra la Vella,Europe,79824.00,77700.00,71746.00,71519.00,66097.00,53569.00,35611.00,19860.00,468.00,170.56,1.01,0.00
42,AGO,Angola,Luanda,Africa,35588987.00,33428485.00,28127721.00,23364185.00,16394062.00,11828638.00,8330047.00,6029700.00,1246700.00,28.55,1.03,0.45
224,AIA,Anguilla,The Valley,North America,15857.00,15585.00,14525.00,13172.00,11047.00,8316.00,6560.00,6283.00,91.00,174.25,1.01,0.00
201,ATG,Antigua and Barbuda,Saint John’s,North America,93763.00,92664.00,89941.00,85695.00,75055.00,63328.00,64888.00,64516.00,442.00,212.13,1.01,0.00
33,ARG,Argentina,Buenos Aires,South America,45510318.00,45036032.00,43257065.00,41100123.00,37070774.00,32637657.00,28024803.00,23842803.00,2780400.00,16.37,1.01,0.57
140,ARM,Armenia,Yerevan,Asia,2780469.00,2805608.00,2878595.00,2946293.00,3168523.00,3556539.00,3135123.00,2534377.00,29743.00,93.48,1.00,0.03
198,ABW,Aruba,Oranjestad,North America,106445.00,106585.00,104257.00,100341.00,89101.00,65712.00,62267.00,59106.00,180.00,591.36,1.00,0.00
55,AUS,Australia,Canberra,Oceania,26177413.00,25670051.00,23820236.00,22019168.00,19017963.00,17048003.00,14706322.00,12595034.00,7692024.00,3.40,1.01,0.33
99,AUT,Austria,Vienna,Europe,8939617.00,8907777.00,8642421.00,8362829.00,8010428.00,7678729.00,7547561.00,7465301.00,83871.00,106.59,1.00,0.11
91,AZE,Azerbaijan,Baku,Asia,10358074.00,,9863480.00,9237202.00,8190337.00,7427836.00,6383060.00,5425317.00,86600.00,119.61,1.00,0.13
176,BHS,Bahamas,Nassau,North America,409984.00,406471.00,392697.00,373272.00,325014.00,270679.00,223752.00,179129.00,13943.00,29.40,1.01,0.01
154,BHR,Bahrain,Manama,Asia,1472233.00,1477469.00,1362142.00,1213645.00,711442.00,517418.00,362595.00,222555.00,765.00,1924.49,1.01,0.02
8,BGD,Bangladesh,Dhaka,Asia,171186372.00,167420951.00,157830000.00,148391139.00,129193327.00,107147651.00,83929765.00,67541860.00,147570.00,1160.04,1.01,2.15
186,BRB,Barbados,Bridgetown,North America,281635.00,280693.00,278083.00,274711.00,264657.00,258868.00,253575.00,241397.00,430.00,654.97,1.00,0.00
96,BLR,Belarus,Minsk,Europe,9534954.00,9633740.00,9700609.00,9731427.00,10256483.00,10428525.00,9817257.00,9170786.00,207600.00,45.93,1.00,0.12
81,BEL,Belgium,Brussels,Europe,11655930.00,11561717.00,11248303.00,10877947.00,10264343.00,9959560.00,9828986.00,9629376.00,30528.00,381.81,1.00,0.15
177,BLZ,Belize,Belmopan,North America,405272.00,394921.00,359871.00,322106.00,240406.00,182589.00,145133.00,120905.00,22966.00,17.65,1.01,0.01
77,BEN,Benin,Porto-Novo,Africa,13352864.00,12643123.00,10932783.00,9445710.00,6998023.00,5133419.00,3833939.00,3023443.00,112622.00,118.56,1.03,0.17
206,BMU,Bermuda,Hamilton,North America,64184.00,64031.00,63144.00,63447.00,61371.00,57470.00,53565.00,52019.00,54.00,1188.59,1.00,0.00
165,BTN,Bhutan,Thimphu,Asia,782455.00,772506.00,743274.00,705516.00,587207.00,558442.00,415257.00,298894.00,38394.00,20.38,1.01,0.01
80,BOL,Bolivia,Sucre,South America,12224110.00,11936162.00,11090085.00,10223270.00,8592656.00,7096194.00,5736088.00,4585693.00,1098581.00,11.13,1.01,0.15
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3233526.00,3318407.00,3524324.00,3811088.00,4179350.00,4494310.00,4199820.00,3815561.00,51209.00,63.14,0.99,0.04
144,BWA,Botswana,Gaborone,Africa,2630296.00,2546402.00,2305171.00,2091664.00,1726985.00,1341474.00,938578.00,592244.00,582000.00,4.52,1.02,0.03
7,BRA,Brazil,Brasilia,South America,215313498.00,213196304.00,205188205.00,196353492.00,175873720.00,150706446.00,122288383.00,96369875.00,8515767.00,25.28,1.00,2.70
221,VGB,British Virgin Islands,Road Town,North America,31305.00,30910.00,29366.00,27556.00,20104.00,15617.00,11109.00,9581.00,151.00,207.32,1.01,0.00
175,BRN,Brunei,Bandar Seri Begawan,Asia,449002.00,441725.00,421437.00,396053.00,333926.00,261928.00,187921.00,133343.00,5765.00,77.88,1.01,0.01
108,BGR,Bulgaria,Sofia,Europe,6781953.00,6979175.00,7309253.00,7592273.00,8097691.00,8767778.00,8980606.00,8582950.00,110879.00,61.17,0.98,0.09
58,BFA,Burkina Faso,Ouagadougou,Africa,22673762.00,21522626.00,18718019.00,16116845.00,11882888.00,9131361.00,6932967.00,5611666.00,272967.00,83.06,1.03,0.28
78,BDI,Burundi,Bujumbura,Africa,12889576.00,12220227.00,10727148.00,9126605.00,6307659.00,5483793.00,4312834.00,3497834.00,27834.00,463.09,1.03,0.16
73,KHM,Cambodia,Phnom Penh,Asia,16767842.00,16396860.00,15417523.00,14363532.00,12118841.00,8910808.00,6198959.00,6708525.00,181035.00,92.62,1.01,0.21
53,CMR,Cameroon,Yaounde,Africa,27914536.00,26491087.00,23012646.00,19878036.00,15091594.00,11430520.00,8519891.00,6452787.00,475442.00,58.71,1.03,0.35
39,CAN,Canada,Ottawa,North America,38454327.00,37888705.00,35732126.00,33963412.00,30683313.00,27657204.00,24511510.00,21434577.00,9984670.00,3.85,1.01,0.48
171,CPV,Cape Verde,Praia,Africa,593149.00,582640.00,552166.00,521212.00,458251.00,364563.00,317234.00,287262.00,4033.00,147.07,1.01,0.01
205,CYM,Cayman Islands,George Town,North America,68706.00,67311.00,60911.00,54074.00,39658.00,26027.00,17100.00,10533.00,264.00,260.25,1.01,0.00
117,CAF,Central African Republic,Bangui,Africa,5579144.00,5343020.00,4819333.00,4660067.00,3759170.00,2809221.00,2415276.00,2067356.00,622984.00,8.96,1.02,0.07
69,TCD,Chad,N'Djamena,Africa,17723315.00,16644701.00,14140274.00,11894727.00,8259137.00,5827069.00,4408230.00,3667394.00,1284000.00,13.80,1.03,0.22
65,CHL,Chile,Santiago,South America,19603733.00,19300315.00,17870124.00,17004162.00,15351799.00,13342868.00,11469828.00,9820481.00,756102.00,25.93,1.01,0.25
1,CHN,China,Beijing,Asia,1425887337.00,1424929781.00,1393715448.00,1348191368.00,1264099069.00,1153704252.00,982372466.00,822534450.00,9706961.00,146.89,1.00,17.88
28,COL,Colombia,Bogota,South America,51874024.00,50930662.00,47119728.00,,39215135.00,32601393.00,26176195.00,20905254.00,1141748.00,45.43,1.01,0.65
163,COM,Comoros,Moroni,Africa,836774.00,806166.00,730216.00,656024.00,536758.00,431119.00,328328.00,242351.00,1862.00,449.40,1.02,0.01
223,COK,Cook Islands,Avarua,Oceania,17011.00,17029.00,17695.00,17212.00,15897.00,17123.00,17651.00,20470.00,236.00,72.08,1.00,0.00
124,CRI,Costa Rica,San José,North America,5180829.00,5123105.00,4895242.00,4622252.00,3979193.00,3158253.00,2414303.00,1855697.00,51100.00,101.39,1.01,0.06
130,HRV,Croatia,Zagreb,Europe,4030358.00,4096868.00,4254815.00,4368682.00,4548434.00,4873707.00,4680144.00,4492638.00,56594.00,71.22,0.99,0.05
85,CUB,Cuba,Havana,North America,11212191.00,11300698.00,11339894.00,11290417.00,11105791.00,10626680.00,9809107.00,8869636.00,109884.00,102.04,1.00,0.14
189,CUW,Curacao,Willemstad,North America,191163.00,189288.00,169572.00,159380.00,141424.00,155446.00,156851.00,150385.00,444.00,430.55,1.00,0.00
158,CYP,Cyprus,Nicosia,Europe,1251488.00,1237537.00,1187280.00,1129686.00,948237.00,788500.00,679327.00,640804.00,9251.00,135.28,1.01,0.02
88,CZE,Czech Republic,Prague,Europe,10493986.00,10530953.00,10523798.00,10464749.00,10234710.00,10301192.00,10270060.00,9795744.00,78865.00,133.06,1.00,0.13
115,DNK,Denmark,Copenhagen,Europe,5882261.00,5825641.00,5677796.00,5550849.00,5340655.00,5144623.00,5125392.00,4922963.00,43094.00,136.50,1.00,0.07
160,DJI,Djibouti,Djibouti,Africa,1120849.00,1090156.00,1006259.00,919199.00,742033.00,577173.00,324121.00,144379.00,23200.00,48.31,1.01,0.01
204,DMA,Dominica,Roseau,North America,72737.00,71995.00,70007.00,68755.00,68346.00,69481.00,72978.00,68895.00,751.00,96.85,1.00,0.00
84,DOM,Dominican Republic,Santo Domingo,North America,11228821.00,10999664.00,10405832.00,9775755.00,8540791.00,7129004.00,5755800.00,4475871.00,48671.00,230.71,1.01,0.14
15,COD,DR Congo,Kinshasa,Africa,99010212.00,92853164.00,78656904.00,66391257.00,48616317.00,35987541.00,26708686.00,20151733.00,2344858.00,42.22,1.03,1.24
67,ECU,Ecuador,Quito,South America,18001000.00,17588595.00,16195902.00,14989585.00,12626507.00,10449837.00,8135845.00,6172215.00,276841.00,65.02,1.01,0.23
14,EGY,Egypt,Cairo,Africa,110990103.00,107465134.00,97723799.00,87252413.00,71371371.00,57214630.00,43748556.00,34781986.00,1002450.00,110.72,1.02,1.39
112,SLV,El Salvador,San Salvador,North America,6336392.00,6292731.00,6231066.00,6114034.00,5958482.00,5367179.00,4508992.00,3619090.00,21041.00,301.15,1.00,0.08
152,GNQ,Equatorial Guinea,Malabo,Africa,1674908.00,1596049.00,,1094524.00,684977.00,465549.00,282509.00,316955.00,28051.00,59.71,1.02,0.02
132,ERI,Eritrea,Asmara,Africa,3684032.00,3555868.00,3340006.00,3147727.00,2392880.00,2149960.00,1657982.00,1272748.00,117600.00,31.33,1.02,0.05
156,EST,Estonia,Tallinn,Europe,1326062.00,1329444.00,1314657.00,1331535.00,1396877.00,1570674.00,1476983.00,1361999.00,45227.00,29.32,1.00,0.02
159,SWZ,Eswatini,Mbabane,Africa,,1180655.00,1133936.00,1099920.00,1030496.00,854011.00,598564.00,442865.00,17364.00,69.20,1.01,0.02
12,ETH,Ethiopia,Addis Ababa,Africa,123379924.00,117190911.00,102471895.00,89237791.00,67031867.00,47878073.00,34945469.00,28308246.00,1104300.00,111.73,1.03,1.55
231,FLK,Falkland Islands,Stanley,South America,3780.00,3747.00,3408.00,3187.00,3080.00,2332.00,2240.00,2274.00,12173.00,0.31,1.00,0.00
209,FRO,Faroe Islands,Tórshavn,Europe,53090.00,52415.00,48816.00,48410.00,45660.00,47479.00,43054.00,38416.00,1393.00,38.11,1.00,0.00
162,FJI,Fiji,Suva,Oceania,929766.00,920422.00,917200.00,905169.00,832509.00,780430.00,644582.00,527634.00,18272.00,50.88,1.01,0.01
118,FIN,Finland,Helsinki,Europe,5540745.00,5529468.00,5479461.00,5363271.00,5176209.00,4986545.00,4779418.00,4606621.00,338424.00,16.37,1.00,0.07
23,FRA,France,Paris,Europe,64626628.00,64480053.00,63809769.00,62444567.00,58665453.00,56412897.00,53713830.00,50523586.00,551695.00,117.14,1.00,0.81
184,GUF,French Guiana,Cayenne,South America,304557.00,290969.00,257026.00,228453.00,164351.00,113931.00,66825.00,46484.00,83534.00,3.65,1.02,0.00
183,PYF,French Polynesia,Papeete,Oceania,306279.00,301920.00,291787.00,283788.00,250927.00,211089.00,163591.00,117891.00,4167.00,73.50,1.01,0.00
146,GAB,Gabon,Libreville,Africa,2388992.00,2292573.00,2028517.00,1711105.00,1272935.00,983028.00,749078.00,597192.00,267668.00,8.93,1.02,0.03
142,GMB,Gambia,Banjul,Africa,2705992.00,2573995.00,2253133.00,,,,,,10689.00,253.16,1.03,0.03
131,GEO,Georgia,Tbilisi,Asia,3744385.00,3765912.00,3771132.00,,,,,,69700.00,53.72,1.00,0.05
19,DEU,Germany,Berlin,Europe,83369843.00,83328988.00,82073226.00,81325090.00,81551677.00,79370196.00,77786703.00,78294583.00,357114.00,233.45,1.00,1.05
47,GHA,Ghana,Accra,Africa,33475870.00,32180401.00,28870939.00,25574719.00,19665502.00,15446982.00,11865246.00,8861895.00,238533.00,140.34,1.02,0.42
219,GIB,Gibraltar,Gibraltar,Europe,32649.00,32709.00,32520.00,31262.00,27741.00,27317.00,28734.00,26685.00,6.00,5441.50,1.00,0.00
90,GRC,Greece,Athens,Europe,10384971.00,10512232.00,10806641.00,11033783.00,11038109.00,10302255.00,9307148.00,8544873.00,131990.00,78.68,0.99,0.13
208,GRL,Greenland,Nuuk,North America,56466.00,56026.00,55895.00,56351.00,56184.00,55599.00,50106.00,45434.00,2166086.00,0.03,1.00,0.00
193,GRD,Grenada,Saint George's,North America,125438.00,123663.00,118980.00,114039.00,107432.00,99047.00,94838.00,98794.00,344.00,364.65,1.01,0.00
178,GLP,Guadeloupe,Basse-Terre,North America,395752.00,395642.00,399089.00,403072.00,424067.00,391951.00,334234.00,318310.00,1628.00,243.09,1.00,0.00
191,GUM,Guam,Hagåtña,Oceania,171774.00,169231.00,167978.00,164905.00,160188.00,138263.00,110286.00,88300.00,549.00,312.89,1.01,0.00
68,GTM,Guatemala,Guatemala City,North America,17843908.00,17362718.00,16001107.00,14543121.00,11735894.00,9084780.00,6987767.00,5453208.00,108889.00,163.87,1.01,0.22
207,GGY,Guernsey,Saint Peter Port,Europe,63301.00,62794.00,61629.00,60782.00,59114.00,57727.00,52860.00,52656.00,78.00,811.55,1.00,0.00
75,GIN,Guinea,Conakry,Africa,13859341.00,13205153.00,11625998.00,10270728.00,8336967.00,6354145.00,4972609.00,4222374.00,245857.00,56.37,1.02,0.17
149,GNB,Guinea-Bissau,Bissau,Africa,2105566.00,2015828.00,1788919.00,1567220.00,1230849.00,973551.00,831462.00,591663.00,36125.00,58.29,1.02,0.03
164,GUY,Guyana,Georgetown,South America,808726.00,797202.00,755031.00,747932.00,759051.00,747116.00,778176.00,705261.00,214969.00,3.76,1.01,0.01
82,HTI,Haiti,Port-au-Prince,North America,11584996.00,11306801.00,10563757.00,9842880.00,8360225.00,6925331.00,5646676.00,4680812.00,27750.00,417.48,1.01,0.15
89,HND,Honduras,Tegucigalpa,North America,10432860.00,10121763.00,9294505.00,8450933.00,6656725.00,5053234.00,3777990.00,2782753.00,112492.00,92.74,1.02,0.13
104,HKG,Hong Kong,Hong Kong,Asia,7488865.00,7500958.00,7399838.00,7132438.00,6731195.00,5838574.00,4978544.00,3955072.00,1104.00,6783.39,1.00,0.09
94,HUN,Hungary,Budapest,Europe,9967308.00,9750573.00,9844246.00,9986825.00,10202055.00,,,10315366.00,93028.00,107.14,1.03,0.12
179,ISL,Iceland,Reykjavík,Europe,372899.00,366669.00,331060.00,318333.00,281462.00,,,204468.00,103000.00,3.62,1.01,0.00
2,IND,India,New Delhi,Asia,1417173173.00,1396387127.00,1322866505.00,1240613620.00,1059633675.00,,,557501301.00,3287590.00,431.07,1.01,17.77
4,IDN,Indonesia,Jakarta,Asia,275501339.00,271857970.00,259091970.00,244016173.00,214072421.00,182159874.00,148177096.00,115228394.00,1904569.00,144.65,1.01,3.45
17,IRN,Iran,Tehran,Asia,88550570.00,87290193.00,81790841.00,75373855.00,65544383.00,55793629.00,38520664.00,28449705.00,1648195.00,53.73,1.01,1.11
35,IRQ,Iraq,Baghdad,Asia,44496122.00,42556984.00,37757813.00,31264875.00,24628858.00,17658381.00,13653369.00,9811347.00,438317.00,101.52,1.02,0.56
125,IRL,Ireland,Dublin,Europe,5023109.00,4946119.00,4665760.00,4524585.00,3768950.00,3485374.00,3391387.00,2937637.00,70273.00,71.48,1.01,0.06
202,IMN,Isle of Man,Douglas,Europe,84519.00,84046.00,83593.00,83828.00,75562.00,68865.00,64022.00,55298.00,572.00,147.76,1.00,0.00
98,ISR,Israel,Jerusalem,Asia,9038309.00,8757489.00,8007778.00,7328445.00,6116958.00,4803254.00,3744608.00,2907307.00,20770.00,435.16,1.02,0.11
25,ITA,Italy,Rome,Europe,59037474.00,59500579.00,60232906.00,59822450.00,56966397.00,56756561.00,56329482.00,53324036.00,301336.00,195.92,1.00,0.74
52,CIV,Ivory Coast,Yamoussoukro,Africa,28160542.00,26811790.00,23596741.00,21120042.00,16799670.00,11910540.00,8303809.00,5477086.00,322463.00,,,0.35
139,JAM,Jamaica,Kingston,North America,2827377.00,2820436.00,2794445.00,2733896.00,2612205.00,2392030.00,2135546.00,1859091.00,10991.00,,,0.04
11,JPN,Japan,Tokyo,Asia,123951692.00,125244761.00,127250933.00,128105431.00,126803861.00,123686321.00,117624196.00,105416839.00,377930.00,327.98,0.99,1.55
195,JEY,Jersey,Saint Helier,Europe,110778.00,108319.00,100561.00,96151.00,86192.00,82874.00,75124.00,68347.00,116.00,954.98,1.01,0.00
83,JOR,Jordan,Amman,Asia,11285869.00,10928721.00,9494246.00,6931258.00,5056174.00,3480587.00,2216903.00,1557374.00,89342.00,126.32,1.01,0.14
66,KAZ,Kazakhstan,Nursultan,Asia,19397998.00,18979243.00,17835909.00,16627837.00,15236253.00,16866563.00,14172710.00,12265305.00,2724900.00,7.12,1.01,0.24
27,KEN,Kenya,Nairobi,Africa,54027487.00,51985780.00,46851488.00,41517895.00,30851606.00,23162269.00,16187124.00,11473087.00,580367.00,93.09,1.02,0.68
192,KIR,Kiribati,Tarawa,Oceania,131232.00,126463.00,116707.00,107995.00,88826.00,75124.00,60813.00,57437.00,811.00,161.82,1.02,0.00
129,KWT,Kuwait,Kuwait City,Asia,4268873.00,4360444.00,3908743.00,2943356.00,1934901.00,1674938.00,1493870.00,802786.00,17818.00,239.58,1.00,0.05
110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623.00,6424874.00,5914980.00,5483774.00,4935182.00,4394734.00,3691209.00,3016384.00,199951.00,33.16,1.02,0.08
103,LAO,Laos,Vientiane,Asia,7529475.00,7319399.00,6787419.00,6323418.00,5430853.00,4314443.00,3297519.00,2675283.00,236800.00,31.80,1.01,0.09
151,LVA,Latvia,Riga,Europe,1850651.00,1897052.00,1991955.00,2101530.00,2392530.00,2689391.00,2572037.00,2397414.00,64559.00,28.67,0.99,0.02
119,LBN,Lebanon,Beirut,Asia,5489739.00,5662923.00,6398940.00,4995800.00,4320642.00,3593700.00,2963702.00,2381791.00,10452.00,525.23,0.98,0.07
147,LSO,Lesotho,Maseru,Africa,2305825.00,2254100.00,2118521.00,2022747.00,1998630.00,1798997.00,1407672.00,1023481.00,30355.00,75.96,1.01,0.03
121,LBR,Liberia,Monrovia,Africa,5302681.00,5087584.00,4612329.00,4019956.00,2895224.00,2209731.00,1932169.00,1463563.00,111369.00,47.61,1.02,0.07
107,LBY,Libya,Tripoli,Africa,6812341.00,6653942.00,6192235.00,6491988.00,5154790.00,4236983.00,2962720.00,1909177.00,1759540.00,3.87,1.01,0.09
